,group,variable,loadings,vip,score
rolling_gdp_real_yoy,gdp_growth,rolling_gdp_real_yoy,1.0000000000000004,1.0,0.5707507090392032
repo_on_vol,domestic_fci,repo_on_vol,0.5535401487152992,1.3602878874733733,0.1744970740416637
eur_all_vol,domestic_fci,eur_all_vol,0.4731676316942869,1.2353552820211209,0.1744970740416637
repo_1W_rate,domestic_fci,repo_1W_rate,0.585362672550483,0.9155904545212215,0.1744970740416637
cpi_inflation_yoy,domestic_fci,cpi_inflation_yoy,0.4149820802887207,0.8832775269773885,0.1744970740416637
repo_on_rate_diff,domestic_fci,repo_on_rate_diff,0.055458853185275964,0.07091629080878704,0.1744970740416637
credit_gdp,leverage,credit_gdp,0.8646144652018045,1.4742318505621783,0.5358314109291864
share_non_resident_liabilities,leverage,share_non_resident_liabilities,-0.4184309517111234,0.8163319095362533,0.5358314109291864
loans_deposits_ratio,leverage,loans_deposits_ratio,0.28935587383667877,0.40030321540166247,0.5358314109291864
GRE_unemployment_rate,trade_partners_macro,GRE_unemployment_rate,0.7716428863540928,1.4038248607947967,0.6649249852369055
ITA_unemployment_rate,trade_partners_macro,ITA_unemployment_rate,0.7163938844804624,1.167344433490509,0.6649249852369055
GRE_gdp_yoy,trade_partners_macro,GRE_gdp_yoy,-0.08389205891239776,0.8115729024867979,0.6649249852369055
ITA_gdp_yoy,trade_partners_macro,ITA_gdp_yoy,0.13906610492702054,0.08906266199899672,0.6649249852369055
euribor_1W,euro_area_fci,euribor_1W,0.8213999122092951,1.7406549845343786,0.4325701985955352
EA_vix,euro_area_fci,EA_vix,0.5383012128676069,0.825855945918171,0.4325701985955352
EA_headline_cpi_yoy,euro_area_fci,EA_headline_cpi_yoy,0.5732964764671405,0.4419060870436207,0.4325701985955352
ITA_bond_10Y_rate,euro_area_fci,ITA_bond_10Y_rate,0.41911533453775557,0.30463288010492395,0.4325701985955352
vix,world_fci,vix,0.8709567274110009,1.273961630240383,0.210308651021472
oil_price,world_fci,oil_price,-0.49615260659417554,0.6140209806474584,0.210308651021472
