,tau,horizon,coeff,tval,pval,lower_ci,upper_ci,pseudo_r2
Intercept,0.1,1,-0.5507175384419968,-5.210288495075072,8.490325636910654e-06,-0.7652960674571164,-0.33613900942687713,0.6017125639028851
domestic_fci,0.1,1,0.02990594700094751,0.1408996905043024,0.8887570146217696,-0.40098428342581294,0.46079617742770795,0.6017125639028851
leverage,0.1,1,-0.37819736756647576,-3.8271222254143256,0.0005131931220569944,-0.5788132426596709,-0.17758149247328062,0.6017125639028851
trade_partners_macro,0.1,1,0.33316613670671646,1.1855079617083362,0.24380332503123583,-0.23735994780661918,0.9036922212200521,0.6017125639028851
euro_area_fci,0.1,1,-0.2504979530167391,-2.373785336562428,0.023225424213056955,-0.46472873142663423,-0.03626717460684398,0.6017125639028851
world_fci,0.1,1,-0.016713064042690767,-0.17994332332140744,0.8582348599472533,-0.20526867806688587,0.17184254998150433,0.6017125639028851
autoreg,0.1,1,0.541572683402057,2.1165922582137537,0.04147747215986907,0.02212875459066499,1.061016612213449,0.6017125639028851
Intercept,0.25,1,-0.171374343635213,-4.2163823546139785,0.0001662001150384359,-0.2538878313723555,-0.0888608558980705,0.6169705795975384
domestic_fci,0.25,1,-0.13418369456597526,-1.8340710501449629,0.07515721946860657,-0.2827097738357931,0.014342384703842581,0.6169705795975384
leverage,0.25,1,-0.16721277788208264,-3.553230323637384,0.0011116415056708151,-0.26274837652452576,-0.0716771792396395,0.6169705795975384
trade_partners_macro,0.25,1,0.28974106155810186,2.4079271901874644,0.021448691795187727,0.04546223593340365,0.5340198871828001,0.6169705795975384
euro_area_fci,0.25,1,-0.06706095468144894,-1.234887472788319,0.22509860048600364,-0.17730660764563877,0.04318469828274088,0.6169705795975384
world_fci,0.25,1,0.010054750659770892,0.16627709478373828,0.8688957473647234,-0.11270556733549843,0.13281506865504022,0.6169705795975384
autoreg,0.25,1,0.6579770537617966,6.927457375780856,4.740428312961283e-08,0.46515530676431915,0.850798800759274,0.6169705795975384
Intercept,0.5,1,-0.10786038382291309,-2.0095792152074936,0.05223516789652324,-0.2168226076984282,0.0011018400526020128,0.6506339675721179
domestic_fci,0.5,1,-0.1290804967602282,-1.101819086053085,0.27805979531006353,-0.366912045670978,0.10875105215052158,0.6506339675721179
leverage,0.5,1,-0.16182780428263516,-2.656859936216338,0.011801052930185928,-0.2854805057319191,-0.03817510283335125,0.6506339675721179
trade_partners_macro,0.5,1,0.3294318536310897,2.3133804905724067,0.02669805906514145,0.04033880534087836,0.618524901921301,0.6506339675721179
euro_area_fci,0.5,1,-0.07535904378338085,-1.1892831902147616,0.24233421603161712,-0.20399702799837646,0.05327894043161477,0.6506339675721179
world_fci,0.5,1,0.03002750974824176,0.41211994124257995,0.6827648269583009,-0.11788837469482288,0.1779433941913064,0.6506339675721179
autoreg,0.5,1,0.6210205047364369,5.92944986906468,9.56326463072923e-07,0.4083972971688956,0.8336437123039782,0.6506339675721179
