,tau,horizon,coeff,tval,pval,lower_ci,upper_ci,pseudo_r2
Intercept,0.1,1,-0.5169722590740666,-3.998643773063575,0.0003134290480491303,-0.7794386205193292,-0.25450589762880405,0.6000901423511569
domestic_fci,0.1,1,-0.10868571131535452,-1.2968599780028736,0.2031641027427288,-0.27882260193681857,0.061451179306109535,0.6000901423511569
leverage,0.1,1,0.2491592993472839,1.3606748749725603,0.18231487152508685,-0.1225828988118626,0.6209014975064304,0.6000901423511569
trade_partners_macro,0.1,1,0.7628303521765596,1.7319962640737252,0.09208037915880979,-0.13129856598934853,1.6569592703424676,0.6000901423511569
euro_area_fci,0.1,1,-0.1254415921898772,-0.6681000372525717,0.5084518981877943,-0.5066120107461376,0.25572882636638317,0.6000901423511569
world_fci,0.1,1,0.0472257560570159,0.2669170504270431,0.7910994723288648,-0.3119621700630123,0.4064136821770441,0.6000901423511569
autoreg,0.1,1,-0.03409021990401903,-0.08810384191407601,0.9302963265324924,-0.8196044971411137,0.7514240573330756,0.6000901423511569
Intercept,0.25,1,-0.21147738588930215,-3.3960623926390623,0.0017162712576332055,-0.337894944845251,-0.08505982693335329,0.6324578082895892
domestic_fci,0.25,1,-0.10600131000005147,-2.029594632009004,0.050054852048615706,-0.2120294283455439,2.6808345440942905e-05,0.6324578082895892
leverage,0.25,1,0.03306869849360248,0.348388856603193,0.7296351078383703,-0.15962697967283654,0.22576437666004148,0.6324578082895892
trade_partners_macro,0.25,1,0.5313440733205084,2.812104596320714,0.008013685474141882,0.14775741111451485,0.914930735526502,0.6324578082895892
euro_area_fci,0.25,1,-0.09680157803964289,-0.9531466962986764,0.34705244815579583,-0.302979338303151,0.1093761822238652,0.6324578082895892
world_fci,0.25,1,-0.05546369950976423,-0.7092955301884062,0.4828396613629028,-0.21420894928591663,0.10328155026638816,0.6324578082895892
autoreg,0.25,1,0.43438508766325173,2.3268004835349467,0.025888426953789682,0.05538885802556659,0.8133813173009369,0.6324578082895892
Intercept,0.5,1,-0.06350521733069647,-1.0190615602001538,0.3151665302676881,-0.1900161664464558,0.06300573178506286,0.6627396946710756
domestic_fci,0.5,1,-0.11210586097940364,-1.5052483579473608,0.14123238160539628,-0.2633015065192321,0.03908978456042486,0.6627396946710756
leverage,0.5,1,0.03779239531544509,0.3899988570772019,0.6989007502347302,-0.15893290263143742,0.2345176932623276,0.6627396946710756
trade_partners_macro,0.5,1,0.5662256167674079,2.9123146049754394,0.0062081337244326695,0.1715226846686112,0.9609285488662046,0.6627396946710756
euro_area_fci,0.5,1,-0.0639577498652777,-0.6101423804836018,0.5457090007605796,-0.27676239879269665,0.1488468990621412,0.6627396946710756
world_fci,0.5,1,0.04702945891456965,0.6166040927645362,0.5414861748222692,-0.10781037838805228,0.20186929621719157,0.6627396946710756
autoreg,0.5,1,0.34504982806247514,1.715664307346345,0.09506474570114663,-0.06324006209354777,0.753339718218498,0.6627396946710756
Intercept,0.75,1,0.22466354258038587,2.9156748252168416,0.006154778459669203,0.068236208833616,0.38109087632715577,0.708882543502084
domestic_fci,0.75,1,0.0867289914964683,0.7866511994075063,0.436780344435057,-0.13709220572378572,0.3105501887167223,0.708882543502084
leverage,0.75,1,0.09184862356031225,0.6986000299478791,0.4894182779016082,-0.1750603528143132,0.3587575999349377,0.708882543502084
trade_partners_macro,0.75,1,0.40664132828188987,1.6364489823245363,0.11070780517445088,-0.09782034049966631,0.9111029970634461,0.708882543502084
euro_area_fci,0.75,1,-0.19054100289578915,-1.296051270326176,0.20343949832591549,-0.4890004924946557,0.10791848670307738,0.708882543502084
world_fci,0.75,1,0.12653530012483666,1.155990708099137,0.2555151851861706,-0.09568129226401631,0.34875189251368965,0.708882543502084
