date,q_real_gdp_rolling_sum4,real_gdp_moving_sum_yoy,repo_1W_rate,cpi_inflation_yoy,repo_on_vol,repo_on_rate_diff,eur_all_vol,credit_gdp,share_non_resident_liabilities,loans_deposits_ratio,ITA_gdp_yoy,ITA_bond_10Y_rate,ITA_unemployment_rate,GRE_gdp_yoy,GRE_unemployment_rate,EA_vix,euribor_1W,EA_headline_cpi_yoy,vix,oil_price
3/31/2001,720666.53,,,0.021371769,,,,,0.021870354,,0.034329955,,,0.054103414,,24.12055385,4.885538462,0.021633339,25.74538462,28.63774194
6/30/2001,735602.47,,,0.031452821,,,,,0.02204546,,0.023584051,,,0.042660744,,23.19285385,4.770923077,0.028863977,23.97615385,27.9840625
9/30/2001,750538.41,,,0.044307058,,,,,0.025119053,,0.013117697,,,0.039868104,,30.54640769,4.449461538,0.024694601,25.73153846,26.62754098
12/31/2001,765474.35,,,0.026548673,,,,,0.034587412,,0.001189654,,,0.027946579,,34.58387692,3.623769231,0.021422674,27.82307692,20.47625
3/31/2002,780410.29,0.0829007,,0.071532847,,,,,0.036058267,,-0.012229585,,,0.024791418,,25.74325385,3.378923077,0.025245745,21.39692308,21.5595
6/30/2002,789267.87,0.07295435,,0.049854792,,,,,0.03859947,,0.000999168,,,0.04912626,,26.83743846,3.383076923,0.021276596,21.62307692,26.2325
9/30/2002,798125.45,0.06340387,,0.049827331,,,,,0.040827554,,0.010880547,,,0.038455297,,49.42487692,3.370384615,0.021407512,34.93769231,28.21625
12/31/2002,806983.03,0.054226089,,0.036398467,,,,,0.042239641,,0.009936236,,,0.044021485,,46.66039231,3.277692308,0.022802689,30.79307692,28.20796875
3/31/2003,815840.61,0.045399606,,0.009082652,,,,,0.043242903,,0.006428697,,,0.056389118,,45.79524615,2.826769231,0.023737118,29.96076923,33.6895082
6/30/2003,827119.71,0.047958167,,0.025357308,,,,,0.038352042,,-0.001722529,,,0.051633161,,32.54711538,2.513384615,0.019447245,21.67076923,28.89421875
9/30/2003,838398.81,0.050459937,,0.029135338,,,,,0.039058702,,-0.000420287,,,0.052161198,,26.4931,2.140846154,0.020791499,19.22846154,30.1953125
12/31/2003,849677.91,0.052906788,,0.032347505,,,,,0.042710992,,0.001939129,,,0.065592111,,24.17367692,2.108461538,0.020588969,17.54153846,31.13140625
3/31/2004,860957.01,0.055300508,,0.03870387,,,,,0.039443368,,0.010889665,,8.233333333,0.062835993,11.03333333,20.56244615,2.088461538,0.017947025,16.68846154,35.14344262
6/30/2004,872816.69,0.055248327,,0.027877698,,,2.208706567,,0.035075413,,0.022057485,,8,0.044908817,10.6,20.99615385,2.083769231,0.023155206,16.26538462,38.2684375
9/30/2004,884676.37,0.05519755,,0.026484018,,,1.828515214,,0.036023755,,0.019082365,,7.766666667,0.05201451,10.43333333,18.57256154,2.095846154,0.022826933,15.52615385,43.7640625
12/31/2004,896536.05,0.055148121,,0.021038496,,,0.969101508,,0.03857053,,0.011278822,,7.866666667,0.026690447,10.4,15.74182857,2.131285714,0.02302645,13.615,48.13969231
3/31/2005,908395.73,0.055099987,5.566887556,0.021663778,,-0.003652792,0.967951669,,0.035265968,,0.001386745,,7.833333333,0.00336117,10.13333333,13.049,2.120666667,0.020954079,12.72583333,49.939375
6/30/2005,920954.1075,0.055151807,5.335376051,0.020997375,37.78339989,-0.004916565,0.881299794,,0.052553479,,0.010741933,,7.766666667,0.005820769,10.03333333,13.83233077,2.123307692,0.020577457,13.51538462,53.20671875
9/30/2005,933512.485,0.055202237,5.055088897,0.023131673,76.96895737,0.024179237,1.288417035,,0.03725169,,0.015353884,,7.566666667,0.006609616,10.13333333,14.26594286,2.1315,0.02295857,12.23571429,63.30375
12/31/2005,946070.8625,0.055251334,5.441636397,0.028057869,72.24526092,-0.006507648,0.888723178,,0.03711488,,0.010247503,,7.6,0.015933484,9.766666667,14.91519231,2.233538462,0.023424428,12.73461538,59.93516129
3/31/2006,958629.24,0.055299148,5.405454023,0.014418999,52.70395622,0.007254144,0.528174612,,0.038317464,,0.031398775,,7.266666667,0.052813545,9.4,14.80593846,2.482923077,0.02441445,12.03846154,63.37031746
6/30/2006,972769.2225,0.056262429,5.162870968,0.026563839,39.7453139,-0.006229609,0.407549182,,0.043582715,,0.016058722,4.262433333,6.866666667,0.054359725,9.1,18.67435385,2.720461538,0.02410827,14.52153846,70.59587302
9/30/2006,986909.205,0.057199792,5.359076923,0.029130435,32.43674337,-0.00041653,0.428408193,,0.041389605,,0.014331305,4.1679,6.566666667,0.045083056,8.7,17.93760769,3.033230769,0.021855783,13.60538462,70.65873016
